1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
355	-0.000000	253.875677	0.000000	4.8
356	-0.000000	253.542215	0.000000	5.4
357	-0.180201	253.209918	0.006253	4.6
358	-0.000000	252.878781	0.000000	4.4
359	-0.730607	252.548795	0.012892	4.1
360	-0.688983	252.219956	0.006524	4.0
361	-0.746246	251.892255	0.004855	4.0
362	-0.191699	251.565688	0.002760	4.1
363	-0.490310	251.240247	0.004614	4.7
364	-0.630280	250.915926	0.004432	4.0
365	-0.000000	250.592720	0.000000	4.8
366	-0.000000	250.270621	0.000000	4.3
367	-0.000000	249.949624	0.000000	4.0
368	-0.000000	249.629723	0.000000	4.0
369	-0.517991	249.310911	0.009498	4.0
370	-0.403187	248.993182	0.005470	4.0
371	-0.610207	248.676531	0.009666	4.0
372	-0.000000	248.360952	0.000000	4.0
373	-0.981696	248.046438	0.004396	4.5
374	-0.547578	247.732984	0.005340	4.4
375	-0.000000	247.420584	0.000000	4.7
376	-0.000000	247.109233	0.000000	4.6
377	-1.015995	246.798924	0.009342	5.9
378	-0.647064	246.489652	0.006387	4.7
379	-0.298210	246.181412	0.004593	6.2
380	-0.601717	245.874197	0.007032	6.1
381	-0.270719	245.568002	0.002705	5.5
382	-0.107031	245.262822	0.001903	6.1
383	-0.363360	244.958652	0.002972	5.1
384	-0.699203	244.655485	0.005971	4.8
385	-0.000000	244.353317	0.000000	6.9
386	-0.174158	244.052142	0.000997	5.0
387	-0.195382	243.751955	0.001893	6.1
388	-0.000000	243.452750	0.000000	5.5
389	-0.212076	243.154523	0.005163	5.2
390	-0.871232	242.857268	0.010022	5.2
391	-0.016573	242.560980	0.000255	5.0
392	-0.000000	242.265654	0.000000	4.5
393	-0.480430	241.971285	0.009647	5.4
394	-0.511667	241.677868	0.010274	5.0
395	-0.000000	241.385397	0.000000	5.2
396	-0.000000	241.093869	0.000000	5.4
397	-0.000000	240.803278	0.000000	6.1
398	-0.708473	240.513619	0.007651	4.4
399	-0.589512	240.224887	0.006425	4.3
400	-0.000000	239.937077	0.000000	4.2
401	-0.526701	239.650186	0.007019	4.3
402	-0.745879	239.364207	0.010183	4.4
403	-0.134108	239.079136	0.002639	4.2
404	-0.653829	238.794969	0.005226	4.0
405	-0.171353	238.511701	0.003967	4.0
406	-0.466695	238.229327	0.002732	4.0
407	-0.447202	237.947843	0.004610	4.6
408	-0.000000	237.667244	0.000000	5.2
409	-0.793927	237.387526	0.008455	4.5
410	-0.181167	237.108684	0.003856	5.0
411	-0.375752	236.830714	0.008326	4.4
412	-0.990340	236.553610	0.005655	4.1
413	-0.084439	236.277370	0.001498	3.9
414	-0.627295	236.001989	0.009474	4.4
415	-0.541388	235.727461	0.005891	4.5
416	-0.280059	235.453784	0.003100	4.2
417	-0.605750	235.180952	0.007227	4.5
418	-0.000000	234.908962	0.000000	4.7
419	-0.108049	234.637809	0.001086	5.4
420	-0.411301	234.367488	0.004379	5.2
421	-0.724196	234.097997	0.008872	6.1
422	-0.470729	233.829331	0.005647	5.3
423	-0.858770	233.561485	0.005407	6.2
424	-0.549422	233.294456	0.008647	5.6
425	0.000000	233.028239	0.000000	5.4
426	-0.241007	232.762831	0.008976	5.5
427	-0.000000	232.498228	0.000000	5.0
428	-0.915340	232.234425	0.008589	4.6
429	-0.724196	231.971419	0.003776	4.4
430	-0.223424	231.709205	0.003028	5.6
431	-1.038791	231.447781	0.009007	4.9
432	-0.420104	231.187141	0.008302	6.2
433	-0.196599	230.927283	0.004257	5.8
434	-0.279086	230.668202	0.004371	5.4
435	-0.312650	230.409895	0.005087	5.5
436	-0.403398	230.152358	0.005264	5.0
437	-0.195615	229.895587	0.004463	5.1
438	-0.797737	229.639578	0.015382	4.6
439	-0.000000	229.384329	0.000000	5.1
440	-0.455654	229.129834	0.003737	4.4
441	-0.000000	228.876091	0.000000	4.4
