1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
111	-0.491531	14.436945	10.800833	0.008315	4.4
112	-0.488269	15.417642	10.509976	0.004299	4.4
113	-0.494281	16.417642	10.229093	0.005079	4.5
114	-0.483722	17.336049	9.984037	0.004561	4.1
115	-0.487336	17.320360	9.988125	0.005881	4.1
116	-0.485154	16.393738	10.235632	0.006729	4.2
117	-0.487069	15.467324	10.495657	0.006957	4.4
118	-0.489673	16.467319	10.215530	0.005726	5.2
119	-0.481407	17.458947	9.952132	0.006364	5.1
120	-0.479610	17.793550	9.866293	0.005910	4.4
121	-0.484681	17.104407	10.044731	0.003651	4.3
122	-0.470471	16.177796	10.295084	0.004668	4.4
123	-0.482788	15.295095	10.545461	0.003153	4.7
124	-0.483586	14.628931	10.742633	0.004847	4.5
125	-0.496997	13.724063	11.022573	0.003886	4.2
126	-0.466106	14.679168	10.727507	0.006234	4.6
127	-0.495058	15.369172	10.523982	0.005355	4.2
128	-0.482978	14.442550	10.799125	0.005577	4.2
129	-0.481761	13.515970	11.089027	0.005212	4.1
130	-0.494195	14.515948	10.776807	0.006022	4.1
131	-0.489875	13.745177	11.015875	0.005139	4.1
132	-0.481996	12.818560	11.317707	0.005998	4.1
133	-0.484136	13.818560	10.992658	0.005579	4.0
134	-0.485090	14.818559	10.685760	0.004955	4.0
135	-0.487232	14.055932	10.918224	0.005507	4.1
136	-0.483612	15.055932	10.615411	0.004398	4.1
137	-0.487032	16.055655	10.329018	0.006598	4.1
138	-0.490737	15.129048	10.593928	0.004559	4.1
139	-0.476093	14.202435	10.872786	0.003222	4.5
140	-0.503412	13.276686	11.166439	0.006832	4.3
141	-0.485843	12.350064	11.476695	0.010376	4.3
142	-0.499637	13.350064	11.142586	0.004280	4.4
143	-0.486594	14.350053	10.827382	0.004764	4.4
144	-0.488694	15.315352	10.539579	0.007225	4.8
145	-0.494863	14.388730	10.815549	0.007059	4.2
146	-0.490137	13.462108	11.106359	0.008665	4.5
147	-0.496322	14.453425	10.795813	0.003802	4.7
148	-0.486039	13.530114	11.084485	0.004606	4.7
149	-0.494773	12.609538	11.388093	0.004904	4.5
150	-0.475914	13.578615	11.068938	0.004541	4.2
151	-0.477498	14.565186	10.761888	0.007094	4.1
152	-0.486152	15.565185	10.467567	0.006590	4.3
153	-0.496578	16.563640	10.189336	0.004554	4.2
154	-0.492674	15.638158	10.446719	0.005037	4.5
155	-0.476381	16.638158	10.169162	0.008349	4.6
156	-0.486367	15.851602	10.386212	0.004424	4.2
157	-0.475145	14.924980	10.654106	0.006730	4.4
158	-0.493401	13.998358	10.936185	0.005118	4.2
159	-0.475592	13.340295	11.145756	0.004952	4.8
160	-0.476770	14.340294	10.830372	0.004180	6.3
161	-0.485893	13.723137	11.022867	0.003288	5.6
162	-0.490618	14.657622	10.733989	0.006502	4.5
163	-0.501304	15.614881	10.453360	0.006053	4.7
164	-0.476365	14.689054	10.724536	0.003335	4.3
165	-0.483757	13.769070	11.008305	0.008078	4.7
166	-0.473220	12.842449	11.309717	0.004369	4.8
167	-0.478447	11.915827	11.628100	0.002881	4.2
168	-0.482696	11.012338	11.956282	0.004660	4.5
169	-0.481380	11.931367	11.622613	0.003549	4.5
170	-0.486077	11.928836	11.623506	0.008767	4.5
171	-0.484356	12.928836	11.280921	0.004820	4.3
172	-0.489283	12.002226	11.597658	0.003014	4.1
173	-0.493633	12.761353	11.336884	0.004409	4.1
174	-0.470154	11.950002	11.616040	0.005558	4.2
175	-0.484408	11.353142	11.830336	0.005417	4.1
176	-0.470892	12.353142	11.475637	0.006089	4.1
177	-0.495009	13.349828	11.142662	0.005448	4.1
178	-0.481359	12.453074	11.441356	0.005336	4.1
179	-0.482212	13.453063	11.109274	0.006839	4.7
180	-0.493380	14.453059	10.795924	0.004707	5.9
181	-0.483157	13.526474	11.085654	0.003547	5.0
182	-0.469749	14.020143	10.929382	0.005714	4.2
183	-0.485758	14.745918	10.707475	0.006150	4.1
184	-0.501361	15.745918	10.416083	0.010090	4.1
185	-0.483941	16.745918	10.140130	0.004961	4.2
186	-0.484754	17.745916	9.878423	0.002596	4.2
187	-0.476890	16.829199	10.117807	0.004235	4.2
188	-0.486732	17.819069	9.859807	0.004147	4.1
189	-0.483365	16.900647	10.098733	0.004166	4.1
190	-0.481220	15.974781	10.351611	0.005351	4.3
191	-0.491651	15.048815	10.617507	0.002169	4.4
192	-0.490673	14.604670	10.749953	0.003789	4.5
193	-0.484296	13.701966	11.029592	0.005613	4.3
194	-0.473786	14.701594	10.720769	0.003963	4.6
195	-0.485755	15.701594	10.428662	0.003966	4.2
196	-0.496051	16.244880	10.276541	0.002753	4.6
197	-0.491398	15.500716	10.486055	0.002992	4.7
198	-0.489864	16.452203	10.219653	0.004309	4.2
199	-0.494792	15.986025	10.348463	0.004723	4.5
200	-0.478640	15.059403	10.614389	0.003908	4.4
201	-0.489372	14.132946	10.894291	0.006203	4.3
202	-0.490423	13.571603	11.071183	0.003395	4.2
203	-0.487227	12.672050	11.366951	0.008230	4.2
204	-0.499095	11.842666	11.654003	0.003949	4.6
205	-0.489436	12.341833	11.479529	0.004541	4.6
206	-0.498653	11.449774	11.795106	0.004707	4.5
207	-0.490092	10.523229	12.141794	0.004179	4.3
208	-0.495544	11.523213	11.768472	0.003654	4.7
209	-0.486511	11.134555	11.910809	0.006496	4.1
210	-0.496165	12.134551	11.551342	0.006279	4.3
211	-0.487160	11.207929	11.883674	0.005540	4.5
212	-0.480705	12.202273	11.527781	0.007483	4.1
213	-0.497769	13.202256	11.190739	0.007203	4.6
214	-0.482339	14.202155	10.872872	0.004670	4.4
215	-0.469982	13.372809	11.135212	0.006244	4.4
216	-0.499860	14.178493	10.880185	0.007069	4.4
217	-0.476882	15.178493	10.579449	0.006617	4.1
218	-0.494370	14.251871	10.857538	0.004716	4.2
219	-0.487857	15.250853	10.558332	0.005973	4.1
220	-0.480096	16.250853	10.274893	0.006831	4.2
221	-0.481600	15.324239	10.537001	0.004969	4.2
222	-0.492670	14.397621	10.812832	0.005943	4.3
223	-0.489722	14.880230	10.667394	0.006095	4.2
224	-0.482149	15.878905	10.378522	0.005246	4.1
225	-0.487051	16.878880	10.104537	0.008251	4.1
226	-0.476086	17.878880	9.844639	0.005455	4.2
227	-0.487143	18.607106	9.663633	0.008142	4.1
228	-0.490893	19.607102	9.425655	0.003347	4.1
229	-0.484627	18.684232	9.644852	0.007083	4.1
230	-0.488090	17.987815	9.817132	0.004632	4.1
231	-0.471056	17.061258	10.056119	0.005851	4.0
232	-0.483511	16.182181	10.293870	0.004483	4.1
233	-0.492948	15.255563	10.556960	0.006403	4.2
234	-0.489557	14.328943	10.833852	0.006331	4.1
235	-0.487905	13.402416	11.125629	0.006904	4.0
236	-0.504985	12.475803	11.433588	0.004788	4.1
237	-0.477580	11.549189	11.759080	0.008085	4.1
238	-0.481038	10.622570	12.103651	0.004041	4.2
239	-0.488243	9.696476	12.468810	0.009016	4.5
240	-0.487593	10.629897	12.100847	0.003235	4.7
241	-0.480496	11.607378	11.738096	0.006944	4.4
242	-0.491711	10.681800	12.081022	0.010772	4.6
243	-0.485207	11.681796	11.711368	0.003510	5.1
244	-0.507272	12.681796	11.363662	0.004190	4.4
245	-0.485081	12.950012	11.273885	0.006246	4.6
246	-0.491526	12.064039	11.575976	0.004936	4.7
247	-0.498321	11.137417	11.909748	0.005096	4.2
248	-0.482973	12.137416	11.550343	0.007343	4.6
249	-0.485182	11.210810	11.882611	0.005410	4.7
250	-0.484241	10.284188	12.234568	0.004744	4.6
251	-0.492581	9.357566	12.608011	0.003214	4.3
252	-0.475355	8.432929	13.004092	0.007936	4.4
253	-0.479349	7.507259	13.426353	0.005569	4.6
254	-0.482991	8.462419	12.991076	0.004333	4.3
