1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
256	-0.619476	22.193719	5.528801	0.006286	9.2
257	-0.638623	22.934149	5.435623	0.009509	8.8
258	-0.631755	22.021676	5.550911	0.010707	9.4
259	-0.621930	21.214339	5.657070	0.009597	9.9
260	-0.639615	22.214339	5.526163	0.010688	10.1
261	-0.616620	23.214264	5.401186	0.007065	10.3
262	-0.628517	24.213967	5.281764	0.007313	10.2
263	-0.626825	24.072604	5.298329	0.008787	9.0
264	-0.641102	23.169464	5.406665	0.012462	8.9
265	-0.604980	24.169464	5.286967	0.006611	9.0
266	-0.623146	25.169463	5.172455	0.008813	9.5
267	-0.635356	24.257657	5.276665	0.005179	9.0
268	-0.612159	25.253915	5.163011	0.007352	9.1
269	-0.633795	25.849739	5.097349	0.008553	9.7
270	-0.622742	24.936761	5.198657	0.005985	9.9
271	-0.618617	25.936740	5.087901	0.010734	9.5
272	-0.617582	26.182790	5.061368	0.007274	9.2
273	-0.616066	25.276050	5.160542	0.007266	9.0
274	-0.636425	26.089294	5.071418	0.008455	9.0
275	-0.617950	25.196935	5.169379	0.005293	9.0
276	-0.638083	25.855499	5.096723	0.006949	9.6
277	-0.622058	26.829055	4.992979	0.007330	12.9
278	-0.620162	27.824850	4.891146	0.007285	11.3
279	-0.613992	26.912181	4.984317	0.007284	9.9
280	-0.613901	25.999242	5.081135	0.007208	9.3
281	-0.610727	25.086354	5.181783	0.012384	9.6
282	-0.626150	26.085815	5.071792	0.006687	9.2
283	-0.630459	27.085815	4.966319	0.011229	9.0
284	-0.636280	28.065465	4.867160	0.009459	9.3
285	-0.622886	29.065451	4.769946	0.006364	9.1
286	-0.620363	28.170301	4.856783	0.007006	9.2
287	-0.624467	27.345705	4.939621	0.007076	10.3
288	-0.618030	26.438050	5.034134	0.013367	9.7
289	-0.628584	25.539651	5.131312	0.007303	8.9
290	-0.643176	26.539141	5.023429	0.006907	8.9
291	-0.619677	25.654581	5.118672	0.008584	9.3
292	-0.617772	25.975081	5.083748	0.008959	8.9
293	-0.618581	26.975079	4.977782	0.011204	9.6
294	-0.620557	26.062140	5.074344	0.011578	11.2
295	-0.634107	27.061870	4.968793	0.015041	10.6
296	-0.633256	26.148962	5.065000	0.012231	10.6
297	-0.627730	27.148962	4.959805	0.009372	10.0
298	-0.629187	28.148949	4.858893	0.008929	10.0
299	-0.608568	29.114576	4.765270	0.014694	9.1
300	-0.626857	28.201694	4.853684	0.008711	9.0
301	-0.640089	29.201694	4.757000	0.010642	9.2
302	-0.613991	28.288717	4.845115	0.006938	9.3
303	-0.620159	27.375746	4.936554	0.009568	9.1
304	-0.620139	26.494863	5.028112	0.006750	9.0
305	-0.636346	25.587743	5.126015	0.009175	9.1
306	-0.634044	24.675213	5.228426	0.005886	9.3
307	-0.626233	23.765947	5.334624	0.010739	9.3
308	-0.622494	23.480596	5.368846	0.009022	9.0
309	-0.609538	22.574725	5.480459	0.008578	9.0
310	-0.623694	23.574722	5.357509	0.011285	8.7
311	-0.606566	24.355681	5.265261	0.008157	9.2
312	-0.631072	25.052249	5.185620	0.012584	9.1
313	-0.628379	24.139271	5.290504	0.006185	10.3
314	-0.637959	25.073956	5.183177	0.005895	9.8
315	-0.622941	25.377140	5.149293	0.004702	10.0
316	-0.620125	24.615782	5.235238	0.011579	9.3
317	-0.628863	24.951070	5.197039	0.008729	9.4
318	-0.638219	25.948066	5.086674	0.005554	9.2
319	-0.628756	26.877773	4.987899	0.009466	8.9
320	-0.630113	27.272008	4.947163	0.009856	8.9
321	-0.613458	28.272008	4.846758	0.014913	8.9
322	-0.637884	27.359031	4.938260	0.005824	8.9
323	-0.641504	28.359031	4.838213	0.006742	9.7
324	-0.637142	27.468060	4.927152	0.005709	10.6
325	-0.626717	28.417588	4.832479	0.007570	8.9
326	-0.623052	29.261824	4.751310	0.008274	9.3
327	-0.615735	30.261823	4.658623	0.007884	9.6
328	-0.634434	31.237679	4.571594	0.007389	8.9
329	-0.617694	30.325067	4.652882	0.006762	9.1
330	-0.631932	29.415684	4.736809	0.007232	8.8
331	-0.623229	29.954239	4.686744	0.009209	9.6
332	-0.620989	29.050178	4.771401	0.007869	9.5
333	-0.638580	30.050173	4.677937	0.009610	9.1
334	-0.630569	31.036202	4.589295	0.008196	9.8
335	-0.619822	31.359541	4.560955	0.008227	10.1
336	-0.613366	32.342280	4.476927	0.007599	9.1
337	-0.629326	31.777700	4.524818	0.005962	9.1
338	-0.625048	31.152361	4.579073	0.009216	8.9
339	-0.623548	32.073018	4.499640	0.010364	9.3
340	-0.619627	31.160658	4.578345	0.010456	9.2
341	-0.626172	32.160650	4.492223	0.009447	9.1
342	-0.608531	31.247672	4.570720	0.008706	10.2
343	-0.609637	30.350908	4.650541	0.016791	9.4
344	-0.627185	31.350908	4.561707	0.009526	9.1
345	-0.614944	32.350908	4.476203	0.011213	9.1
346	-0.639594	31.437983	4.554132	0.008111	8.9
347	-0.604245	32.437983	4.468909	0.006407	9.4
348	-0.634805	31.570784	4.542627	0.007781	9.3
349	-0.616386	32.566851	4.458158	0.006528	8.9
350	-0.639351	33.421690	4.388131	0.011510	9.7
351	-0.635783	32.508719	4.463001	0.010300	10.7
352	-0.620162	33.508719	4.381124	0.013101	10.7
353	-0.633902	34.508719	4.302198	0.009423	9.8
354	-0.629636	33.595741	4.374141	0.006027	10.4
355	-0.633352	34.595667	4.295469	0.007854	10.0
356	-0.624551	33.701598	4.365677	0.009416	9.3
357	-0.618704	32.789796	4.439680	0.011379	8.9
358	-0.643519	33.370404	4.392270	0.012441	9.3
359	-0.619994	33.027157	4.420175	0.008126	9.8
360	-0.614586	33.882834	4.351260	0.006602	9.1
361	-0.609791	33.019485	4.420803	0.007164	9.0
362	-0.647644	34.014411	4.340853	0.007822	9.2
363	-0.622584	35.005199	4.264059	0.009755	9.1
364	-0.631185	35.892933	4.197525	0.006419	9.1
365	-0.624686	36.869688	4.126677	0.010875	9.5
366	-0.616925	37.869688	4.056578	0.006903	9.5
367	-0.635476	38.869680	3.988822	0.005606	9.2
368	-0.633372	39.869647	3.923293	0.006534	10.2
369	-0.629286	39.080510	3.974824	0.010016	10.5
370	-0.616199	38.169194	4.036044	0.008699	10.1
371	-0.627480	39.169077	3.968974	0.016436	9.7
372	-0.614854	40.167311	3.904201	0.006557	10.2
373	-0.629801	41.167310	3.841400	0.006753	9.8
374	-0.621454	41.476670	3.822379	0.011791	9.5
375	-0.624563	42.465618	3.762817	0.008113	9.4
376	-0.631429	43.465614	3.704448	0.012790	9.1
377	-0.627615	44.465612	3.647861	0.009045	9.3
378	-0.622113	45.465611	3.592978	0.007801	9.2
379	-0.618055	46.459815	3.540026	0.008976	9.0
380	-0.628493	47.459804	3.488317	0.013154	9.2
381	-0.627594	46.546833	3.535465	0.010259	9.1
382	-0.618532	47.546399	3.483910	0.008032	9.4
383	-0.621972	46.633422	3.530939	0.012957	9.1
384	-0.629381	47.163424	3.503484	0.010465	9.5
385	-0.629374	46.250446	3.551047	0.008897	9.2
386	-0.627361	47.250426	3.499018	0.012364	10.5
387	-0.628781	46.337669	3.546447	0.006051	10.1
388	-0.625479	47.051573	3.509243	0.008351	9.8
389	-0.617167	46.152654	3.556218	0.007974	9.3
390	-0.610222	47.151964	3.504073	0.009308	9.2
391	-0.632648	48.151878	3.453406	0.009419	9.0
